City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
295,jahanian shah,72.2771,31.8055,307.59,41,3,1.99,PK,1691541085
296,touros,-35.4608,-5.1989,297.74,81,87,5.1,BR,1691483409
297,nova sintra,-24.7167,14.8667,295.96,74,39,6.61,CV,1691479397
298,brenham,-96.3977,30.1669,312.25,38,0,6.62,US,1691495308
299,siliana,9.3708,36.085,293.21,52,0,1.09,TN,1691555739
300,orsa,30.4053,54.5153,285.35,85,86,1.94,BY,1691547769
301,ugoofaaru,73.0,5.6667,300.96,79,100,6.19,MV,1691543018
302,lospalos,127.0025,-8.5186,296.32,71,52,3.66,TL,1691531041
303,freetown,-13.2299,8.484,298.19,90,94,3.95,SL,1691563516
304,shannon,-8.8642,52.7039,289.89,94,75,2.57,IE,1691557609
305,lianran,102.485,24.9227,291.58,95,90,1.13,CN,1691534471
306,cruz grande,-99.1333,16.7333,304.13,65,3,3.49,MX,1691497117
307,chirilagua,-88.1386,13.2203,300.67,71,57,1.51,SV,1691494745
308,anna regina,-58.5077,7.2644,300.69,78,97,3.26,GY,1691488066
309,ciudad lazaro cardenas,-102.2,17.9583,304.11,75,3,5.39,MX,1691497758
310,beihai,109.1,21.4833,302.5,80,18,7.03,CN,1691533172
311,port douglas,145.4667,-16.4833,295.48,71,62,7.12,AU,1691527183
312,carutapera,-46.02,-1.195,298.63,83,69,3.55,BR,1691485663
313,kroya,109.2461,-7.6331,295.96,86,38,2.09,ID,1691535240
314,arraial do cabo,-42.0278,-22.9661,294.06,87,100,8.52,BR,1691486299
315,livingston,-3.5226,55.9029,284.75,85,0,2.57,GB,1691555582
316,namdrik,168.1028,5.5994,301.25,71,71,2.31,MH,1691520198
317,traralgon,146.5333,-38.1833,285.21,60,70,0.45,AU,1691528841
318,anloga,0.8973,5.7947,297.86,89,21,6.74,GH,1691560314
319,van wert,-84.5841,40.8695,298.04,61,0,1.79,US,1691491273
320,karratha,116.8463,-20.7377,295.16,36,0,3.5,AU,1691534372
321,valdahon,6.35,47.15,287.63,61,100,2.06,FR,1691554985
322,kandira,30.1746,41.0736,295.7,83,48,5.68,TR,1691550145
323,la'ie,-157.9253,21.6477,305.13,67,10,1.34,US,1691510839
324,mahina,-149.489,-17.5065,297.02,94,75,6.17,PF,1691511654
325,extrema,-46.3183,-22.8547,288.44,92,78,2.84,BR,1691487319
326,san jose del cabo,-109.6977,23.0589,309.59,63,69,0.89,MX,1691499143
327,kurmuk,34.2833,10.55,292.72,96,100,0.46,SD,1691551965
328,tura,90.2201,25.5198,296.36,98,100,2.1,IN,1691537363
329,palikir - national government center,158.1611,6.9248,300.62,83,100,6.17,FM,1691522491
330,tejen,60.5054,37.3834,301.67,23,0,2.68,TM,1691543313
331,kirakira,161.9205,-10.4544,299.56,84,100,3.49,SB,1691522799
332,severoural'sk,59.952,60.1533,287.0,92,30,1.76,RU,1691539073
333,iranshahr,60.6848,27.2025,306.29,29,12,1.61,IR,1691544305
334,kembe,21.8865,4.6228,293.65,97,91,0.24,CF,1691555358
335,kanniyakumari,77.5667,8.0833,298.89,82,100,7.64,IN,1691541752
336,shevchenko,35.0,48.5,290.47,73,71,7.38,UA,1691547876
337,schriever,-90.8104,29.7421,307.14,78,98,2.24,US,1691494007
338,vernon,-119.2691,50.2581,302.2,31,93,0.51,CA,1691498132
339,monte patria,-70.9467,-30.6919,292.33,54,94,0.47,CL,1691493904
340,colonia menno,-59.8167,-22.3667,298.13,56,89,3.92,PY,1691490518
341,grand-lahou,-5.0242,5.1367,296.75,92,96,5.4,CI,1691561781
342,puerto aysen,-72.7,-45.4,278.32,99,100,1.44,CL,1691495986
343,torghay,63.4981,49.6339,296.64,61,90,0.79,KZ,1691540828
344,luderitz,15.1594,-26.6481,289.37,63,0,5.9,NA,1691559244
345,gotsucho,132.2167,35.0,303.31,69,87,4.49,JP,1691526359
346,kuqa,82.9364,41.7278,298.87,32,20,2.55,CN,1691537387
347,caconda,15.0667,-13.7333,287.53,50,4,1.16,AO,1691558268
348,papao,-149.55,-17.75,296.97,86,98,7.86,PF,1691511687
349,yelizovo,158.3805,53.1873,291.23,63,75,3.13,RU,1691517319
350,tarawa,172.984,1.419,301.52,72,97,3.09,KI,1691519318
351,patacamaya,-67.9167,-17.2333,282.77,48,17,1.69,BO,1691492063
352,zhanjiang,110.3427,21.2815,301.68,79,52,4.4,CN,1691532890
353,la huacana,-101.8167,18.9667,306.25,56,16,1.13,MX,1691497586
354,katsuren-haebaru,127.8719,26.3369,301.16,100,100,5.14,JP,1691528251
355,al hazm,44.7769,16.1641,305.14,26,91,2.61,YE,1691549032
356,hirara,125.2833,24.8,301.11,87,95,6.29,JP,1691529008
357,road town,-64.6167,18.4167,302.23,80,19,7.1,VG,1691488700
358,knyaze-volkonskoye,135.4567,48.4642,294.34,87,97,0.33,RU,1691523749
359,trincomalee,81.2335,8.5711,300.57,72,100,8.09,LK,1691540837
360,namibe,12.1522,-15.1961,290.51,88,65,2.04,AO,1691559074
361,urangan,152.9,-25.3,292.99,57,12,5.92,AU,1691526090
362,carora,-70.0827,10.1755,303.62,50,13,5.0,VE,1691490635
363,walvis bay,14.5053,-22.9575,285.98,61,20,1.37,NA,1691559098
364,puerto quijarro,-57.7667,-17.7833,299.57,47,46,0.12,BO,1691489669
